legal_act_id,regulation_code,citations,published_url_length,published_url_status,published_url,repaired_url,repaired_status
N2300140,Taxation Notice: 2023/014,630,200,404,https://www.gov.uk/government/publications/trade-remedies-notices-anti-dumping-duty-on-hot-rolled-iron-and-steel-products-from-china/trade-remedies-notice-202314-anti-dumping-duty-on-certain-hot-rolle,https://www.gov.uk/government/publications/trade-remedies-notices-anti-dumping-duty-on-hot-rolled-iron-and-steel-products-from-china/trade-remedies-notice-202314-anti-dumping-duty-on-certain-hot-rolled-flat-products-of-iron-non-alloy-or-other-alloy-steel-originating-in-the-people,200
N2300150,Taxation Notice: 2023/015,630,200,404,https://www.gov.uk/government/publications/trade-remedies-notices-countervailing-duty-on-hot-rolled-iron-and-steel-products-from-china/trade-remedies-notice-202315-countervailing-duty-on-certain-hot-r,https://www.gov.uk/government/publications/trade-remedies-notices-countervailing-duty-on-hot-rolled-iron-and-steel-products-from-china/trade-remedies-notice-202315-countervailing-duty-on-certain-hot-rolled-flat-products-of-iron-non-alloy-or-other-alloy-steel-originating-in-the-peop,200
N2300160,Taxation Notice: 2023/16,204,200,404,https://www.gov.uk/government/publications/trade-remedies-notices-anti-dumping-duty-on-hot-rolled-iron-and-steel-products-from-brazil-iran-russia-and-ukraine/trade-remedies-notice-202316-anti-dumping-,https://www.gov.uk/government/publications/trade-remedies-notices-anti-dumping-duty-on-hot-rolled-iron-and-steel-products-from-brazil-iran-russia-and-ukraine/trade-remedies-notice-202316-anti-dumping-duty-on-certain-hot-rolled-flat-products-of-iron-non-alloy-or-other-alloy-steel-originating-in-brazil-ir,200
N2500200,Trade remedies notice 2025/20,180,200,404,https://www.gov.uk/government/publications/trade-remedies-notices-registration-of-imports-of-biodiesel-originating-from-china/trade-remedies-notice-202520-definitive-anti-dumping-duty-on-biodiesel-ori,https://www.gov.uk/government/publications/trade-remedies-notices-registration-of-imports-of-biodiesel-originating-from-china/trade-remedies-notice-202520-definitive-anti-dumping-duty-on-biodiesel-originating-from-china,200
N2300080,Taxation Notice: 2023/008,135,200,404,https://www.gov.uk/government/publications/trade-remedies-notices-anti-dumping-duty-on-hot-rolled-steel-plate-and-sheet-from-china/trade-remedies-notice-202308-anti-dumping-duty-on-certain-heavy-plate,https://www.gov.uk/government/publications/trade-remedies-notices-anti-dumping-duty-on-hot-rolled-steel-plate-and-sheet-from-china/trade-remedies-notice-202308-anti-dumping-duty-on-certain-heavy-plate-of-non-alloy-or-other-alloy-steel-products-originating-in-the-peoples-republi,200
N2300030,Taxation Notice: 2023/003,71,200,404,https://www.gov.uk/government/publications/trade-remedies-notices-anti-dumping-duty-on-steel-reinforcing-bars-and-rods-from-china/trade-remedies-notice-202303-anti-dumping-duty-on-high-fatigue-perform,https://www.gov.uk/government/publications/trade-remedies-notices-anti-dumping-duty-on-steel-reinforcing-bars-and-rods-from-china/trade-remedies-notice-202303-anti-dumping-duty-on-high-fatigue-performance-steel-concrete-reinforcement-bar-rebar-originating-in-the-peoples-repu,200
N2500070,2025 No.7,46,200,404,https://www.gov.uk/government/publications/trade-remedies-notices-registration-of-imports-of-tin-mill-products-originating-from-china/trade-remedies-notice-20257-registration-of-imports-of-tin-mill-pr,https://www.gov.uk/government/publications/trade-remedies-notices-registration-of-imports-of-tin-mill-products-originating-from-china/trade-remedies-notice-20257-registration-of-imports-of-tin-mill-products-originating-from-china,200
N2400150,15,8,200,404,https://www.gov.uk/government/publications/trade-remedies-notice-provisional-countervailing-duty-on-ironing-boards-from-turkiye/trade-remedies-notice-202415-countervailing-duty-on-ironing-boards-from-,https://www.gov.uk/government/publications/trade-remedies-notice-provisional-countervailing-duty-on-ironing-boards-from-turkiye/trade-remedies-notice-202415-countervailing-duty-on-ironing-boards-from-turkey,200
N2300260,Taxation Notice: 2023/026,8,200,404,https://www.gov.uk/government/publications/trade-remedies-notices-anti-dumping-duty-on-aluminium-road-wheels-from-china/trade-remedies-notice-202326-anti-dumping-duty-on-certain-aluminium-road-wheels-,https://www.gov.uk/government/publications/trade-remedies-notices-anti-dumping-duty-on-aluminium-road-wheels-from-china/trade-remedies-notice-202326-anti-dumping-duty-on-certain-aluminium-road-wheels-originating-in-the-peoples-republic-of-china,200
N2500010,Trade remedies notice 2025/01,4,200,404,https://www.gov.uk/government/publications/trade-remedies-notice-provisional-anti-dumping-duty-on-suspension-poly-vinyl-chloride-s-pvc-from-the-united-states-of-america/trade-remedies-notice-202501-de,https://www.gov.uk/government/publications/trade-remedies-notice-provisional-anti-dumping-duty-on-suspension-poly-vinyl-chloride-s-pvc-from-the-united-states-of-america/trade-remedies-notice-202501-definitive-anti-dumping-duty-on-suspension-poly-vinyl-chloride-s-pvc-from-the-united-states-of-america,200
N2200100,Taxation notice 2022/10,4,200,404,https://www.gov.uk/government/publications/trade-remedies-notices-anti-dumping-duty-on-electric-bicycles-from-china/taxation-notice-202210-anti-dumping-and-countervailing-duty-on-electric-bicycles-ori,https://www.gov.uk/government/publications/trade-remedies-notices-anti-dumping-duty-on-electric-bicycles-from-china/taxation-notice-202210-anti-dumping-and-countervailing-duty-on-electric-bicycles-originating-in-the-peoples-republic-of-china-new-exporter-review,200
