case_ref,case_status,published_code,published_status,repaired_code,repaired_status,repaired_description,case_url
ER0080,Active,301919011,404,0301919011,200,Weighing 1.2 kg or less each,https://public-file.trade-remedies.service.gov.uk/case/er0080/
ER0080,Active,302118011,404,0302118011,200,"In the form of whole fish (with heads on), whether or not gilled, whether or not gutted, weighing 1,2 kg or less each; with heads off, whether or not gilled, whether or not gutted, weighing 1 kg or less each",https://public-file.trade-remedies.service.gov.uk/case/er0080/
ER0080,Active,303149011,404,0303149011,200,"In the form of whole fish (with heads on), whether or not gilled, whether or not gutted, weighing 1,2 kg or less each; with heads off, whether or not gilled, whether or not gutted, weighing 1 kg or less each",https://public-file.trade-remedies.service.gov.uk/case/er0080/
ER0080,Active,304429010,404,0304429010,200,Of the species Oncorhynchus mykiss,https://public-file.trade-remedies.service.gov.uk/case/er0080/
ER0080,Active,304829010,404,0304829010,200,Of the species Oncorhynchus mykiss,https://public-file.trade-remedies.service.gov.uk/case/er0080/
ER0080,Active,305430011,404,0305430011,200,"In the form of whole fish (with heads on), whether or not gilled, whether or not gutted, weighing 1,2 kg or less each; with heads off, whether or not gilled, whether or not gutted, weighing 1 kg or less each; fillets weighing 400 g or less each",https://public-file.trade-remedies.service.gov.uk/case/er0080/
TS0002,Completed,301919011,404,0301919011,200,Weighing 1.2 kg or less each,https://public-file.trade-remedies.service.gov.uk/case/ts0002/
TS0002,Completed,302118011,404,0302118011,200,"In the form of whole fish (with heads on), whether or not gilled, whether or not gutted, weighing 1,2 kg or less each; with heads off, whether or not gilled, whether or not gutted, weighing 1 kg or less each",https://public-file.trade-remedies.service.gov.uk/case/ts0002/
TS0002,Completed,303149011,404,0303149011,200,"In the form of whole fish (with heads on), whether or not gilled, whether or not gutted, weighing 1,2 kg or less each; with heads off, whether or not gilled, whether or not gutted, weighing 1 kg or less each",https://public-file.trade-remedies.service.gov.uk/case/ts0002/
TS0002,Completed,304429010,404,0304429010,200,Of the species Oncorhynchus mykiss,https://public-file.trade-remedies.service.gov.uk/case/ts0002/
TS0002,Completed,304829010,404,0304829010,200,Of the species Oncorhynchus mykiss,https://public-file.trade-remedies.service.gov.uk/case/ts0002/
TS0002,Completed,305430011,404,0305430011,200,"In the form of whole fish (with heads on), whether or not gilled, whether or not gutted, weighing 1,2 kg or less each; with heads off, whether or not gilled, whether or not gutted, weighing 1 kg or less each; fillets weighing 400 g or less each",https://public-file.trade-remedies.service.gov.uk/case/ts0002/
