measure_id,expires,commodity,commodity_description,measure_type,geographical_area,additional_code,exporter
20130655,2026-08-30,8712003010,"Consigned from Indonesia, Malaysia, Sri Lanka or Tunisia",552,ID,12386,"P.T. Terang Dunia Internusa, (United Bike), Jl. Anggrek Neli Murni 114 Slipi, 11480, Jakarta Barat, Indonesia"
20130673,2026-08-30,8712003010,"Consigned from Indonesia, Malaysia, Sri Lanka or Tunisia",552,TN,12776,Look Design System S.A.
20130656,2026-08-30,8712007091,"Consigned from Indonesia, Malaysia, Sri Lanka or Tunisia",552,ID,12386,"P.T. Terang Dunia Internusa, (United Bike), Jl. Anggrek Neli Murni 114 Slipi, 11480, Jakarta Barat, Indonesia"
20234489,2027-01-25,8708701015,"fitted with pneumatic tyres, new or retreaded, of rubber, of a kind used for buses or lorries, with a load index exceedi",552,CN,14047,Forged aluminium road wheels
20234493,2027-01-25,8708701015,"fitted with pneumatic tyres, new or retreaded, of rubber, of a kind used for buses or lorries, with a load index exceedi",552,CN,14048,Cast aluminium road wheels
20234490,2027-01-25,8708701050,Other,552,CN,14047,Forged aluminium road wheels
20234494,2027-01-25,8708701050,Other,552,CN,14048,Cast aluminium road wheels
20234491,2027-01-25,8708705015,"fitted with pneumatic tyres, new or retreaded, of rubber, of a kind used for buses or lorries, with a load index exceedi",552,CN,14047,Forged aluminium road wheels
20234495,2027-01-25,8708705015,"fitted with pneumatic tyres, new or retreaded, of rubber, of a kind used for buses or lorries, with a load index exceedi",552,CN,14048,Cast aluminium road wheels
20234492,2027-01-25,8708705050,Other,552,CN,14047,Forged aluminium road wheels
20234496,2027-01-25,8708705050,Other,552,CN,14048,Cast aluminium road wheels
20286560,2027-02-20,8427101010,"Mobile access equipment designed for the lifting of persons, with a maximum working height of 6 meters or more",551,CN,14101,Zhejiang Dingli Machinery Co Ltd
20286575,2027-02-20,8427101010,"Mobile access equipment designed for the lifting of persons, with a maximum working height of 6 meters or more",551,CN,14102,Lingong Heavy Machinery Co Ltd
20286605,2027-02-20,8427101010,"Mobile access equipment designed for the lifting of persons, with a maximum working height of 6 meters or more",551,CN,14103,Fronteq (Changzhou) Machinery Co Ltd.
20286620,2027-02-20,8427101010,"Mobile access equipment designed for the lifting of persons, with a maximum working height of 6 meters or more",551,CN,14104,Sunward Intelligent Equipment Co Ltd
20286635,2027-02-20,8427101010,"Mobile access equipment designed for the lifting of persons, with a maximum working height of 6 meters or more",551,CN,14105,Oshkosh JLG (Tianjin) Equipment Technology Co Ltd (“JLG Tianjin”)
20286650,2027-02-20,8427101010,"Mobile access equipment designed for the lifting of persons, with a maximum working height of 6 meters or more",551,CN,14106,"Jiangsu LiuGong Machinery Co Ltd, a PRC producer"
20286665,2027-02-20,8427101010,"Mobile access equipment designed for the lifting of persons, with a maximum working height of 6 meters or more",551,CN,14107,Terex (Changzhou) Machinery Co Ltd (“Terex Changzhou”)
20286680,2027-02-20,8427101010,"Mobile access equipment designed for the lifting of persons, with a maximum working height of 6 meters or more",551,CN,14108,Zoomlion Intelligent Access Machinery Co Ltd
20286695,2027-02-20,8427101010,"Mobile access equipment designed for the lifting of persons, with a maximum working height of 6 meters or more",551,CN,14109,Hered (Shandong) Intelligent Technology Co Ltd
20286710,2027-02-20,8427101010,"Mobile access equipment designed for the lifting of persons, with a maximum working height of 6 meters or more",551,CN,14110,"XCMG Group, including:<br><br>&amp;bull; XCMG Fire-Fighting Safety Equipment Co Ltd, the PRC producer<br><br>&amp;bull; "
20286725,2027-02-20,8427101010,"Mobile access equipment designed for the lifting of persons, with a maximum working height of 6 meters or more",551,CN,14111,Hunan Sinoboom Intelligent Equipment Co Ltd (“Sinoboom”)
20286740,2027-02-20,8427101010,"Mobile access equipment designed for the lifting of persons, with a maximum working height of 6 meters or more",551,CN,14112,Haulotte Access Equipment Manufacturing (Changzhou) Co Ltd
20286755,2027-02-20,8427101010,"Mobile access equipment designed for the lifting of persons, with a maximum working height of 6 meters or more",551,CN,14113,Shandong Chufeng Heavy Industry Machinery Co Ltd
20286770,2027-02-20,8427101010,"Mobile access equipment designed for the lifting of persons, with a maximum working height of 6 meters or more",551,CN,14114,Joovoo Industries Inc
20286785,2027-02-20,8427101010,"Mobile access equipment designed for the lifting of persons, with a maximum working height of 6 meters or more",551,CN,14115,Jinan Juxin Machinery Co Ltd
20286800,2027-02-20,8427101010,"Mobile access equipment designed for the lifting of persons, with a maximum working height of 6 meters or more",551,CN,14091,Goods which do not fall within the goods description are excluded from the measure<BR><br><br>* These goods are excluded
20286590,2027-02-20,8427101010,"Mobile access equipment designed for the lifting of persons, with a maximum working height of 6 meters or more",551,CN,11386,All other overseas exporters (residual amount)
20286561,2027-02-20,8427101090,Other,551,CN,14101,Zhejiang Dingli Machinery Co Ltd
20286576,2027-02-20,8427101090,Other,551,CN,14102,Lingong Heavy Machinery Co Ltd
20286606,2027-02-20,8427101090,Other,551,CN,14103,Fronteq (Changzhou) Machinery Co Ltd.
20286621,2027-02-20,8427101090,Other,551,CN,14104,Sunward Intelligent Equipment Co Ltd
20286636,2027-02-20,8427101090,Other,551,CN,14105,Oshkosh JLG (Tianjin) Equipment Technology Co Ltd (“JLG Tianjin”)
20286651,2027-02-20,8427101090,Other,551,CN,14106,"Jiangsu LiuGong Machinery Co Ltd, a PRC producer"
20286666,2027-02-20,8427101090,Other,551,CN,14107,Terex (Changzhou) Machinery Co Ltd (“Terex Changzhou”)
20286681,2027-02-20,8427101090,Other,551,CN,14108,Zoomlion Intelligent Access Machinery Co Ltd
20286696,2027-02-20,8427101090,Other,551,CN,14109,Hered (Shandong) Intelligent Technology Co Ltd
20286711,2027-02-20,8427101090,Other,551,CN,14110,"XCMG Group, including:<br><br>&amp;bull; XCMG Fire-Fighting Safety Equipment Co Ltd, the PRC producer<br><br>&amp;bull; "
20286726,2027-02-20,8427101090,Other,551,CN,14111,Hunan Sinoboom Intelligent Equipment Co Ltd (“Sinoboom”)
20286741,2027-02-20,8427101090,Other,551,CN,14112,Haulotte Access Equipment Manufacturing (Changzhou) Co Ltd
20286756,2027-02-20,8427101090,Other,551,CN,14113,Shandong Chufeng Heavy Industry Machinery Co Ltd
20286771,2027-02-20,8427101090,Other,551,CN,14114,Joovoo Industries Inc
20286786,2027-02-20,8427101090,Other,551,CN,14115,Jinan Juxin Machinery Co Ltd
20286801,2027-02-20,8427101090,Other,551,CN,14091,Goods which do not fall within the goods description are excluded from the measure<BR><br><br>* These goods are excluded
20286591,2027-02-20,8427101090,Other,551,CN,11386,All other overseas exporters (residual amount)
